"sample_id","subject_id","survey_timestamp","check_point","class"
"479_1","479",2022-11-25 07:56:33,"1","Subject"
"480_1","480",2022-11-24 08:03:06,"1","Subject"
"488_1","488",2022-11-24 11:20:50,"1","Subject"
"494_1","494",2022-11-29 09:10:07,"1","Subject"
"499_1","499",2022-11-25 14:59:38.5,"1","Subject"
"501_1","501",2022-11-26 22:52:52,"1","Subject"
"505_1","505",2022-11-27 07:35:13,"1","Subject"
"509_1","509",2022-11-27 00:53:44.5,"1","Subject"
"510_1","510",2022-11-24 16:35:50,"1","Subject"
"511_1","511",2022-11-24 11:15:56,"1","Subject"
"512_1","512",2022-11-28 11:11:02,"1","Subject"
"513_1","513",2022-11-25 07:55:09,"1","Subject"
"521_1","521",2022-11-24 13:04:32.5,"1","Subject"
"524_1","524",2022-11-24 12:10:07.5,"1","Subject"
"529_1","529",2022-11-24 13:54:25.5,"1","Subject"
"535_1","535",2022-11-26 19:40:10.5,"1","Subject"
"536_1","536",2022-11-25 23:06:41.5,"1","Subject"
"537_1","537",2022-11-26 13:58:09.5,"1","Subject"
"538_1","538",2022-11-25 11:17:32.5,"1","Subject"
"540_1","540",2022-11-24 12:31:16,"1","Subject"
"543_1","543",2022-11-24 18:30:57.5,"1","Subject"
"547_1","547",2022-11-24 18:17:38.5,"1","Subject"
"550_1","550",2022-11-25 11:32:28,"1","Subject"
"551_1","551",2022-11-26 07:28:29,"1","Subject"
"554_1","554",2022-11-24 19:05:58,"1","Subject"
"559_1","559",2022-11-26 23:08:42.5,"1","Subject"
"566_1","566",2022-11-24 19:23:25,"1","Subject"
"567_1","567",2022-11-26 19:37:32.5,"1","Subject"
"568_1","568",2022-12-02 16:16:15.5,"1","Subject"
"569_1","569",2022-11-27 00:03:20.5,"1","Subject"
"572_1","572",2022-11-24 19:41:49.5,"1","Subject"
"576_1","576",2022-11-25 09:19:56.5,"1","Subject"
"581_1","581",2022-11-25 10:36:24,"1","Subject"
"582_1","582",2022-12-01 11:08:35,"1","Subject"
"585_1","585",2022-11-29 06:29:09.5,"1","Subject"
"587_1","587",2022-11-25 06:34:42,"1","Subject"
"588_1","588",2022-11-27 07:42:56.5,"1","Subject"
"591_1","591",2022-11-27 13:29:44,"1","Subject"
