"sample_id","subject_id","survey_timestamp","check_point","class"
"403_1","403",2022-11-26 00:21:30,"1","Subject"
"407_1","407",2022-11-27 09:16:30,"1","Subject"
"409_1","409",2022-11-29 04:46:00,"1","Subject"
"411_1","411",2022-11-30 12:39:30,"1","Subject"
"412_1","412",2022-11-27 19:29:30,"1","Subject"
"414_1","414",2022-11-26 03:12:00,"1","Subject"
"416_1","416",2022-11-29 01:44:30,"1","Subject"
"419_1","419",2022-11-24 13:38:00,"1","Subject"
"422_1","422",2022-11-25 03:59:30,"1","Subject"
"425_1","425",2022-11-24 19:15:00,"1","Subject"
"426_1","426",2022-11-26 07:00:30,"1","Subject"
"429_1","429",2022-11-25 23:22:30,"1","Subject"
"430_1","430",2022-11-29 03:08:30,"1","Subject"
"431_1","431",2022-11-28 16:56:00,"1","Subject"
"432_1","432",2022-11-28 14:16:00,"1","Subject"
"433_1","433",2022-11-26 05:47:00,"1","Subject"
"434_1","434",2022-11-24 17:53:00,"1","Subject"
"435_1","435",2022-11-27 06:50:30,"1","Subject"
"437_1","437",2022-11-24 04:19:00,"1","Subject"
"439_1","439",2022-11-28 07:31:00,"1","Subject"
"440_1","440",2022-11-24 17:46:00,"1","Subject"
"441_1","441",2022-11-25 00:57:00,"1","Subject"
"445_1","445",2022-11-26 00:29:30,"1","Subject"
"454_1","454",2022-11-28 06:42:00,"1","Subject"
"460_1","460",2022-11-26 09:57:30,"1","Subject"
"461_1","461",2022-11-26 17:41:00,"1","Subject"
"462_1","462",2022-11-24 08:30:00,"1","Subject"
"463_1","463",2022-11-27 00:25:30,"1","Subject"
"466_1","466",2022-11-26 20:58:30,"1","Subject"
"469_1","469",2022-11-26 00:04:00,"1","Subject"
"471_1","471",2022-11-26 12:01:00,"1","Subject"
"472_1","472",2022-11-24 18:04:30,"1","Subject"
"473_1","473",2022-12-01 15:29:30,"1","Subject"
"474_1","474",2022-11-25 01:29:00,"1","Subject"
"476_1","476",2022-11-25 10:25:30,"1","Subject"
"477_1","477",2022-11-24 21:16:00,"1","Subject"
"479_1","479",2022-11-25 07:56:00,"1","Subject"
"480_1","480",2022-11-24 08:02:30,"1","Subject"
"484_1","484",2022-11-29 01:39:00,"1","Subject"
"486_1","486",2022-11-25 07:58:00,"1","Subject"
"487_1","487",2022-11-25 07:32:00,"1","Subject"
"488_1","488",2022-11-24 11:20:00,"1","Subject"
"492_1","492",2022-11-25 04:57:00,"1","Subject"
"494_1","494",2022-11-29 09:09:30,"1","Subject"
"497_1","497",2022-11-29 00:49:30,"1","Subject"
"499_1","499",2022-11-25 14:59:00,"1","Subject"
"500_1","500",2022-11-24 11:25:00,"1","Subject"
"501_1","501",2022-11-26 22:52:30,"1","Subject"
"502_1","502",2022-11-28 17:38:00,"1","Subject"
"503_1","503",2022-11-26 19:13:30,"1","Subject"
"505_1","505",2022-11-27 07:34:30,"1","Subject"
"506_1","506",2022-11-25 10:31:30,"1","Subject"
"508_1","508",2022-11-25 00:04:00,"1","Subject"
"509_1","509",2022-11-27 00:53:30,"1","Subject"
"510_1","510",2022-11-24 16:35:30,"1","Subject"
"511_1","511",2022-11-24 11:15:30,"1","Subject"
"512_1","512",2022-11-28 11:10:30,"1","Subject"
